split,label,support,prevalence
train,atelectasis,7996,0.10190141204057705
train,cardiomegaly,1950,0.02485089463220676
train,effusion,9261,0.1180226334301881
train,infiltration,13914,0.17732069123719224
train,mass,3988,0.05082326553499516
train,nodule,4375,0.0557552123158485
train,pneumonia,978,0.01246367946169139
train,pneumothorax,3705,0.04721669980119284
train,consolidation,3263,0.041583830351225974
train,edema,1690,0.021537442014579192
train,emphysema,1799,0.022926543304276903
train,fibrosis,1158,0.014757608196972014
train,pleural_thickening,2279,0.029043686598358567
train,hernia,144,0.001835142988224499
val,atelectasis,1119,0.09974150993849719
val,cardiomegaly,240,0.021392280951956503
val,effusion,1292,0.11516177912469917
val,infiltration,2018,0.1798734290043676
val,mass,625,0.05570906497905339
val,nodule,613,0.054639450931455565
val,pneumonia,133,0.011854889027542562
val,pneumothorax,504,0.044923789999108656
val,consolidation,447,0.039843123273018984
val,edema,200,0.017826900793297084
val,emphysema,208,0.01853997682502897
val,fibrosis,166,0.014796327658436581
val,pleural_thickening,372,0.03315803547553258
val,hernia,41,0.0036545146626259027
test,atelectasis,2420,0.10787678865956403
test,cardiomegaly,582,0.025943921900771185
test,effusion,2754,0.12276556858199973
test,infiltration,3938,0.1755449560914724
test,mass,1133,0.05050595105425044
test,nodule,1335,0.05951054250434627
test,pneumonia,242,0.010787678865956404
test,pneumothorax,1089,0.048544554896803815
test,consolidation,957,0.04266036642446396
test,edema,413,0.01841037756876031
test,emphysema,509,0.02268978736682566
test,fibrosis,362,0.01613694111353809
test,pleural_thickening,734,0.03271965408104132
test,hernia,42,0.0018722417866535908
