label,case_type,row_id,truth,prediction,probability,threshold
effusion,TP,6222,1,1,0.93902224,0.49999999999999994
edema,TP,6212,1,1,0.86914647,0.49999999999999994
atelectasis,TP,2775,1,1,0.818373,0.49999999999999994
infiltration,TP,10909,1,1,0.7710153,0.49999999999999994
effusion,FP,17388,0,1,0.90692025,0.49999999999999994
edema,FP,22029,0,1,0.9027369,0.49999999999999994
atelectasis,FP,6222,0,1,0.890556,0.49999999999999994
infiltration,FP,13346,0,1,0.7763153,0.49999999999999994
effusion,FN,19456,1,0,0.49992263,0.49999999999999994
infiltration,FN,12254,1,0,0.49986246,0.49999999999999994
atelectasis,FN,8547,1,0,0.49979165,0.49999999999999994
edema,FN,15650,1,0,0.49905035,0.49999999999999994
