label,support,tp,fp,fn,tn,false_positive_rate,false_negative_rate
atelectasis,2420,1592,8300,828,11713,0.41473042522360465,0.3421487603305785
cardiomegaly,582,344,7536,238,14315,0.3448812411331289,0.40893470790378006
effusion,2754,1832,6920,922,12759,0.35164388434371663,0.3347857661583152
infiltration,3938,2251,7475,1687,11020,0.4041632873749662,0.42839004570848144
mass,1133,522,8363,611,12937,0.39262910798122064,0.5392762577228597
nodule,1335,796,10946,539,10152,0.5188169494738838,0.4037453183520599
pneumonia,242,143,8370,99,13821,0.37717993781262676,0.4090909090909091
pneumothorax,1089,593,8813,496,12531,0.4129029235382309,0.4554637281910009
consolidation,957,640,7296,317,14180,0.33972806854162785,0.33124346917450365
edema,413,333,6494,80,15526,0.294913714804723,0.1937046004842615
emphysema,509,218,7806,291,14118,0.35604816639299397,0.5717092337917485
fibrosis,362,258,10400,104,11671,0.4712065606451905,0.287292817679558
pleural_thickening,734,414,9216,320,12483,0.42472003318125257,0.4359673024523161
hernia,42,31,8789,11,13602,0.3925237818766469,0.2619047619047619
