experiment,run_id,run_name,status,start_time,end_time,metric.test_size,metric.train_size,metric.val_size,param.seed,param.synthetic_size,param.mode,param.manifest,param.demo_synthetic,param.max_tokens,param.dataset_kind,param.epochs,param.batch_size,param.device,param.lr,param.image_size,param.in_channels,param.vocab_size,metric.val_positive_rate,metric.test_positive_rate,metric.selected_threshold,metric.val_ap_micro,metric.val_f1_macro_threshold_search,metric.test_ap_micro,metric.train_loss,metric.test_auc_micro,metric.val_f1_macro,metric.test_f1_macro,metric.val_auc_micro,metric.val_best_threshold,metric.val_ap_macro,metric.test_ap_macro,metric.val_f1_micro,metric.val_auc_macro,metric.test_f1_micro,metric.test_auc_macro,param.threshold_quantile,param.subset_size,param.data_root,metric.anomaly_threshold,metric.val_error_mean,metric.train_reconstruction_mse,metric.test_anomaly_rate,param.loss,param.patience,param.pos_weight,param.scheduler,param.augment,param.no_pretrained,param.weight_decay,param.model,param.trainable_parameters,metric.lr
eda_chestmnist,ff09ddeb386441ff9c53066215a50577,eda,FINISHED,1781688562134,1781688562180,22433.0,78468.0,11219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,942b66a4d1ef4300b2f9133c2af6bcb7,fusion,FINISHED,1781689527536,1781689535428,,,,42,160,fusion,data/openi/manifest.csv,False,96,real_manifest,5,32,cpu,0.001,64,1,1293,0.05675146771037182,0.0444015444015444,0.05,0.13350096538366296,0.07378682931070671,0.19175369288297994,0.15408987147717182,0.6985946420729029,0.07378682931070671,0.06537549363179615,0.6868293031907282,0.05,0.12019744307206093,0.18537764143667315,0.16802168021680217,0.5589425105858635,0.15041782729805014,,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,8168b62865a94790a6b45a4731404385,text,FINISHED,1781689512377,1781689517504,,,,42,160,text,data/openi/manifest.csv,False,96,real_manifest,5,32,cpu,0.001,64,1,1293,0.05675146771037182,0.0444015444015444,0.1,0.08138852846188621,0.14028266415025997,0.10175452478917563,0.2093021367564579,0.684628897672376,0.14028266415025997,0.1279717223789929,0.5981542423808842,0.1,0.13731813755096314,0.13123813898015688,0.14864864864864866,0.5219877921053369,0.14479638009049775,,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,06d6e3ed913d405fad8f310770c06d9c,image,FINISHED,1781689492927,1781689501102,,,,42,160,image,data/openi/manifest.csv,False,96,real_manifest,5,32,cpu,0.001,64,1,1293,0.05675146771037182,0.0444015444015444,0.05,0.07962796383009281,0.04710464779778023,0.043752784136443665,0.1647810321574337,0.49167764602547204,0.04710464779778023,0.08147334773532765,0.6251073114894835,0.05,0.07465515465540604,0.09024562339093609,0.12138728323699421,0.461338130183728,0.08383233532934131,,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,ac4b07ca6a9942d9bcb955e14624a085,fusion,FINISHED,1781688786476,1781688787425,,,,42,240,fusion,None,True,96,synthetic_smoke,2,32,cpu,0.001,64,1,22,0.2003968253968254,0.19047619047619047,0.1,0.25052484817896215,0.3472087661539432,0.18946257591594345,0.5017072657744089,0.5191482843137255,0.3472087661539432,0.32999930917212944,0.5477114708989509,0.1,0.31893982519462305,0.28240316765229634,0.34686346863468637,0.5805843469442905,0.3371212121212121,0.5615213964161311,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,8fc747c8d0294a469b2ca4763e031d66,text,FINISHED,1781688772717,1781688772985,,,,42,240,text,None,True,96,synthetic_smoke,2,32,cpu,0.001,64,1,22,0.2003968253968254,0.19047619047619047,0.15,0.19232151349281842,0.331468221328356,0.18588347140009148,0.6357785520099458,0.4852941176470588,0.331468221328356,0.31493595216543807,0.494509004250301,0.15,0.2775823961663268,0.2697944119773437,0.3344370860927152,0.5381788777541002,0.32053422370617696,0.5391273310016345,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,01e00cd5918949ebbc5a6fbb88178bc0,image,FINISHED,1781688757420,1781688758365,,,,42,240,image,None,True,96,synthetic_smoke,2,32,cpu,0.001,64,1,22,0.2003968253968254,0.19047619047619047,0.15,0.23714469797433618,0.33086417421268094,0.19503768613567407,0.4777794565473284,0.4886642156862745,0.33086417421268094,0.3192820680933747,0.535218534260374,0.05,0.2656852858460842,0.241043285351366,0.3338842975206612,0.49606474519639715,0.3248730964467005,0.4868321205905124,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,3d643c3560ae4964b187d8a9de42a78f,fusion,FINISHED,1781688728924,1781688729770,,,,42,240,fusion,None,True,96,synthetic_smoke,2,32,cpu,0.001,64,1,22,0.2003968253968254,0.19047619047619047,,0.25052484817896215,,0.18946257591594345,0.5017072657744089,0.5191482843137255,0.0,0.0,0.5477114708989509,,0.31893982519462305,0.28240316765229634,0.0,0.5805843469442905,0.0,0.5615213964161311,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,ec38ef80b3a54ac183cdcc4fd0db665c,text,FINISHED,1781688719598,1781688719809,,,,42,240,text,None,True,96,synthetic_smoke,2,32,cpu,0.001,64,1,22,0.2003968253968254,0.19047619047619047,,0.19232151349281842,,0.18588347140009148,0.6357785520099458,0.4852941176470588,0.12421150278293135,0.15342098377812663,0.494509004250301,,0.2775823961663268,0.2697944119773437,0.14857142857142858,0.5381788777541002,0.19767441860465115,0.5391273310016345,,,,,,,,,,,,,,,,,
multimodal_openi_or_mimic,ce8d7241c41c4c5088f2740aabf6e7c5,image,FINISHED,1781688708497,1781688709334,,,,42,240,image,None,True,96,synthetic_smoke,2,32,cpu,0.001,64,1,22,0.2003968253968254,0.19047619047619047,,0.23714469797433618,,0.19087895682323597,0.4777794565473284,0.4866217320261438,0.0,0.0,0.535218534260374,,0.2656852858460842,0.2444260240719546,0.0,0.49606474519639715,0.0,0.49350727198023586,,,,,,,,,,,,,,,,,
