label,support,prevalence,precision,recall,f1,average_precision,auc
atelectasis,2420,0.10787678865956403,0.16093813182369593,0.6578512396694215,0.2586094866796621,0.16540424042746954,0.6611559098156446
cardiomegaly,582,0.025943921900771185,0.04365482233502538,0.5910652920962199,0.08130465610966675,0.047285337489389304,0.6827992019049354
effusion,2754,0.12276556858199973,0.2093235831809872,0.6652142338416849,0.3184425517121502,0.24163325903557714,0.7091793695493868
infiltration,3938,0.1755449560914724,0.23144149701830147,0.5716099542915185,0.32947892271662765,0.26095073476881886,0.6201087387076051
mass,1133,0.05050595105425044,0.05875070343275183,0.46072374227714036,0.10421241764823318,0.05861714801420523,0.5474308516589386
nodule,1335,0.05951054250434627,0.06779083631408618,0.59625468164794,0.12174046035023324,0.07280855343233578,0.5596402804390994
pneumonia,242,0.010787678865956404,0.016797838599788558,0.5909090909090909,0.032667047401484864,0.018241425041109254,0.6391030017008608
pneumothorax,1089,0.048544554896803815,0.06304486497980012,0.5445362718089991,0.11300619342544069,0.06447918113487756,0.5903408488593169
consolidation,957,0.04266036642446396,0.08064516129032258,0.6687565308254964,0.14393343078826043,0.09284473080610259,0.7160789239982694
edema,413,0.01841037756876031,0.048776915189688005,0.8062953995157385,0.0919889502762431,0.06768842365091338,0.8136836312135345
emphysema,509,0.02268978736682566,0.027168494516450648,0.42829076620825146,0.0510957459275753,0.03100572066008005,0.5450641867297242
fibrosis,362,0.01613694111353809,0.024207168324263464,0.712707182320442,0.046823956442831216,0.027598261222355223,0.6651000875877473
pleural_thickening,734,0.03271965408104132,0.04299065420560748,0.5640326975476839,0.07989193361636433,0.042021974551094014,0.5927888413346186
hernia,42,0.0018722417866535908,0.0035147392290249433,0.7380952380952381,0.00699616339426766,0.007348555152439432,0.7443860309520619
