label,support,prevalence,precision,recall,f1,average_precision,auc
atelectasis,7,0.0945945945945946,0.0958904109589041,1.0,0.175,0.5376923214902309,0.8486140724946696
cardiomegaly,10,0.13513513513513514,0.18867924528301888,1.0,0.31746031746031744,0.23891498453533233,0.6765625
effusion,5,0.06756756756756757,0.10204081632653061,1.0,0.18518518518518517,0.8711111111111112,0.9855072463768115
infiltration,2,0.02702702702702703,0.03125,0.5,0.058823529411764705,0.27702702702702703,0.75
mass,2,0.02702702702702703,0.0,0.0,0.0,0.03807471264367816,0.48611111111111116
nodule,2,0.02702702702702703,0.023809523809523808,0.5,0.045454545454545456,0.03796169630642955,0.48611111111111116
pneumonia,3,0.04054054054054054,0.0,0.0,0.0,0.04284524404464435,0.39906103286384975
pneumothorax,2,0.02702702702702703,0.0,0.0,0.0,0.34090909090909094,0.9305555555555556
consolidation,0,0.0,0.0,0.0,0.0,0.0,
edema,4,0.05405405405405406,0.0,0.0,0.0,0.06710097254004577,0.5321428571428571
emphysema,3,0.04054054054054054,0.07142857142857142,1.0,0.13333333333333333,0.06527777777777778,0.6150234741784036
fibrosis,4,0.05405405405405406,0.0,0.0,0.0,0.051166159375114595,0.35
pleural_thickening,0,0.0,0.0,0.0,0.0,0.0,
hernia,2,0.02702702702702703,0.0,0.0,0.0,0.027205882352941177,0.27083333333333337
