label,support,prevalence,precision,recall,f1,average_precision,auc
atelectasis,7,0.0945945945945946,0.0851063829787234,0.5714285714285714,0.14814814814814814,0.13217848542925942,0.556503198294243
cardiomegaly,10,0.13513513513513514,0.1320754716981132,0.7,0.2222222222222222,0.23690931446524013,0.515625
effusion,5,0.06756756756756757,0.10204081632653061,1.0,0.18518518518518517,0.21939393939393942,0.7681159420289856
infiltration,2,0.02702702702702703,0.03508771929824561,1.0,0.06779661016949153,0.05298913043478261,0.6388888888888888
mass,2,0.02702702702702703,0.03076923076923077,1.0,0.05970149253731343,0.05011520737327189,0.6111111111111112
nodule,2,0.02702702702702703,0.01694915254237288,0.5,0.03278688524590164,0.03333333333333333,0.3958333333333333
pneumonia,3,0.04054054054054054,0.0,0.0,0.0,0.04344365642237982,0.40375586854460094
pneumothorax,2,0.02702702702702703,0.04081632653061224,1.0,0.0784313725490196,0.26666666666666666,0.9444444444444444
consolidation,0,0.0,0.0,0.0,0.0,0.0,
edema,4,0.05405405405405406,0.05357142857142857,0.75,0.1,0.057825540472599295,0.4285714285714286
emphysema,3,0.04054054054054054,0.046153846153846156,1.0,0.08823529411764706,0.06606865620148353,0.6197183098591549
fibrosis,4,0.05405405405405406,0.05405405405405406,1.0,0.10256410256410256,0.07863707330920446,0.47857142857142854
pleural_thickening,0,0.0,0.0,0.0,0.0,0.0,
hernia,2,0.02702702702702703,0.02857142857142857,1.0,0.05555555555555555,0.02587772397094431,0.22222222222222227
