label,support,prevalence,precision,recall,f1,average_precision,auc
atelectasis,7,0.0945945945945946,0.15789473684210525,0.8571428571428571,0.26666666666666666,0.20617296248551376,0.7398720682302772
cardiomegaly,10,0.13513513513513514,0.38095238095238093,0.8,0.5161290322580645,0.6845238095238094,0.8109375000000001
effusion,5,0.06756756756756757,0.13793103448275862,0.8,0.23529411764705882,0.15735638414768152,0.6637681159420289
infiltration,2,0.02702702702702703,0.04,0.5,0.07407407407407407,0.06285178236397748,0.6458333333333334
mass,2,0.02702702702702703,0.0,0.0,0.0,0.02408008658008658,0.17361111111111116
nodule,2,0.02702702702702703,0.03571428571428571,0.5,0.06666666666666667,0.03812636165577342,0.47916666666666663
pneumonia,3,0.04054054054054054,0.023809523809523808,0.3333333333333333,0.044444444444444446,0.09851851851851852,0.516431924882629
pneumothorax,2,0.02702702702702703,0.047619047619047616,1.0,0.09090909090909091,0.04554655870445344,0.5763888888888888
consolidation,0,0.0,0.0,0.0,0.0,0.0,
edema,4,0.05405405405405406,0.0851063829787234,1.0,0.1568627450980392,0.07679379444085327,0.5821428571428572
emphysema,3,0.04054054054054054,0.0967741935483871,1.0,0.17647058823529413,0.09070867404200739,0.7183098591549296
fibrosis,4,0.05405405405405406,0.03333333333333333,0.25,0.058823529411764705,0.064193474797983,0.49642857142857144
pleural_thickening,0,0.0,0.0,0.0,0.0,0.0,
hernia,2,0.02702702702702703,0.058823529411764705,0.5,0.10526315789473684,0.28846153846153844,0.826388888888889
