label,support,prevalence,precision,recall,f1,average_precision,auc
atelectasis,72,0.140625,0.14432989690721648,0.9722222222222222,0.2513464991023339,0.138993009922297,0.5099431818181818
cardiomegaly,9,0.017578125,0.0231023102310231,0.7777777777777778,0.04487179487179487,0.06282341366921224,0.6052573448199691
effusion,54,0.10546875,0.12398921832884097,0.8518518518518519,0.2164705882352941,0.14667758519902152,0.5934821284166262
infiltration,82,0.16015625,0.17539863325740318,0.9390243902439024,0.29558541266794625,0.22937382738781725,0.5951786727169597
mass,29,0.056640625,0.060790273556231005,0.6896551724137931,0.11173184357541899,0.056778004886431734,0.5001070893124866
nodule,33,0.064453125,0.06807511737089202,0.8787878787878788,0.12636165577342048,0.08935383117836138,0.5109128866957677
pneumonia,6,0.01171875,0.012345679012345678,0.8333333333333334,0.024330900243309004,0.015587675858539663,0.5227272727272727
pneumothorax,28,0.0546875,0.058823529411764705,0.8928571428571429,0.11037527593818984,0.11128848712350048,0.6917798110979929
consolidation,18,0.03515625,0.03826530612244898,0.8333333333333334,0.07317073170731707,0.04016524288686281,0.5526315789473685
edema,11,0.021484375,0.023872679045092837,0.8181818181818182,0.04639175257731959,0.15709178684223377,0.6980584285973508
emphysema,7,0.013671875,0.006578947368421052,0.2857142857142857,0.012861736334405145,0.01590764491842412,0.3366336633663366
fibrosis,11,0.021484375,0.02349869451697128,0.8181818181818182,0.04568527918781726,0.021997036030449987,0.48067501360914533
pleural_thickening,21,0.041015625,0.04106776180698152,0.9523809523809523,0.07874015748031496,0.04286935191642614,0.4998545242944429
hernia,1,0.001953125,0.004016064257028112,1.0,0.008,0.004016064257028112,0.5146771037181996
