label,support,prevalence,precision,recall,f1,average_precision,auc
atelectasis,133,0.133,0.133,1.0,0.23477493380406,0.13079668504689443,0.5005940456678027
cardiomegaly,17,0.017,0.016260162601626018,0.7058823529411765,0.031788079470198675,0.04716486875653411,0.5848243671832924
effusion,112,0.112,0.1205298013245033,0.8125,0.209919261822376,0.1285904929465434,0.5482927123552124
infiltration,178,0.178,0.19518377693282637,0.8651685393258427,0.3185108583247156,0.18488559451541162,0.5356352005248913
mass,51,0.051,0.048465266558966075,0.5882352941176471,0.08955223880597014,0.044900205610109795,0.4581706233599868
nodule,59,0.059,0.06343713956170703,0.9322033898305084,0.11879049676025918,0.06449447295196649,0.5370593850753795
pneumonia,16,0.016,0.02264808362369338,0.8125,0.04406779661016949,0.026286277200312673,0.6257621951219512
pneumothorax,52,0.052,0.05772005772005772,0.7692307692307693,0.10738255033557047,0.08314116590916096,0.5897841609866926
consolidation,42,0.042,0.041736227045075125,0.5952380952380952,0.078003120124805,0.037450748329146744,0.4445769957252212
edema,20,0.02,0.023961661341853034,0.75,0.04643962848297214,0.07450157258474728,0.5987755102040816
emphysema,13,0.013,0.013078470824949699,1.0,0.025819265143992055,0.03354014774601815,0.392331073182137
fibrosis,18,0.018,0.022935779816513763,0.5555555555555556,0.04405286343612335,0.020817839493165687,0.5207060420909707
pleural_thickening,35,0.035,0.034371643394199784,0.9142857142857143,0.06625258799171843,0.03981001711436422,0.5115914137675796
hernia,1,0.001,0.0017953321364452424,1.0,0.0035842293906810036,0.02631578947368421,0.962962962962963
