model,label,support,best_threshold,best_f1
cnn,atelectasis,2420,0.49999999999999994,0.2586094866796621
cnn,cardiomegaly,582,0.65,0.09616888193901485
cnn,effusion,2754,0.5499999999999999,0.3279891019595515
cnn,infiltration,3938,0.49999999999999994,0.32947892271662765
cnn,mass,1133,0.49999999999999994,0.10421241764823318
cnn,nodule,1335,0.49999999999999994,0.12174046035023324
cnn,pneumonia,242,0.6,0.04010184595798854
cnn,pneumothorax,1089,0.5499999999999999,0.11329256517541036
cnn,consolidation,957,0.6,0.16946030576533433
cnn,edema,413,0.75,0.1277533039647577
cnn,emphysema,509,0.5499999999999999,0.059271125350420506
cnn,fibrosis,362,0.6,0.05360645020701678
cnn,pleural_thickening,734,0.5499999999999999,0.08010835913312693
cnn,hernia,42,0.7999999999999999,0.02181818181818182
